subsector,band,fossil_share,confidence,basis
food-beverage-tobacco,<100,0.75,med,"Gas/oil steam & hot water dominate; biomass boilers dilute in some countries. Rehfeldt: food is the archetypal <100C subsector; Eurostat gas-heavy fuel mix."
food-beverage-tobacco,100-200,0.75,med,"Gas steam (sterilisation, evaporation). Same fuel pool as <100C."
food-beverage-tobacco,200-500,0.70,low,"Direct-fired drying/roasting, mostly gas; minor share of heat."
food-beverage-tobacco,500-1000,0.60,low,"Rare in food; extrapolated."
food-beverage-tobacco,>1000,0.55,low,"Negligible heat; placeholder."
textiles-leather-apparel,<100,0.85,med,"Dyeing/finishing hot water & steam, gas-dominated (Rehfeldt 2018 textiles profile)."
textiles-leather-apparel,100-200,0.88,med,"Gas steam; very little biomass in this subsector."
textiles-leather-apparel,200-500,0.80,low,"Stenter/drying, mostly gas."
textiles-leather-apparel,500-1000,0.70,low,"Negligible heat; extrapolated."
textiles-leather-apparel,>1000,0.65,low,"Negligible heat; placeholder."
glass,<100,0.75,low,"Minor low-temp loads; gas."
glass,100-200,0.80,med,"Forehearth/annealing support, gas."
glass,200-500,0.80,med,"Annealing lehr; gas or electric — fossil majority in EU average."
glass,500-1000,0.88,med,"Working end/conditioning, gas-fired."
glass,>1000,0.90,med,"Melting furnaces predominantly natural gas (+ minority electric boost). High fossil at HIGH band."
cement,<100,0.75,low,"Negligible; placeholder."
cement,100-200,0.75,low,"Minor drying; gas."
cement,200-500,0.72,med,"Raw-mix/coal drying, gas."
cement,500-1000,0.70,med,"Precalciner/preheater, same kiln fuel pool."
cement,>1000,0.70,med,"Kiln: coal/petcoke + ~48%% EU alt-fuel thermal substitution (~half biogenic). NOT ~1.0 fossil — alt fuels lower it. Cembureau/ECRA."
iron-and-steel,<100,0.80,low,"Negligible; placeholder."
iron-and-steel,100-200,0.85,low,"Minor; process gas."
iron-and-steel,200-500,0.85,med,"Sinter/pickling; coke breeze + process gas (all fossil-derived)."
iron-and-steel,500-1000,0.92,med,"Reheating furnaces; NG + coke-oven/BF gas, fossil."
iron-and-steel,>1000,0.92,med,"High-temp reheating/sinter strand; fossil process gases."
pulp-and-paper,<100,0.30,country,"USE Eurostat country×subsector value. Black liquor + bark (biomass) and fossil gas both serve steam; temperature does not separate them. Nordic ~0.05, continental ~0.5."
pulp-and-paper,100-200,0.30,country,"USE country value. Recovery-boiler & bark steam (biomass) vs fossil gas steam. This is where ~95%% of P&P heat sits."
pulp-and-paper,200-500,0.35,country,"USE country value; slightly higher fossil (lime kiln reburning uses gas/oil)."
pulp-and-paper,500-1000,0.40,country,"USE country value; lime kiln, more fossil."
pulp-and-paper,>1000,0.45,low,"Negligible heat."
lime,<100,0.80,low,"Negligible; placeholder."
lime,100-200,0.82,low,"Minor drying."
lime,200-500,0.80,low,"Minor; gas."
lime,500-1000,0.85,med,"Shaft/rotary kiln; gas/coal/coke, less alt-fuel than cement."
lime,>1000,0.88,med,"Kiln high-temp; predominantly fossil (coal/coke/gas)."
chemicals,<100,0.80,low,"Low-temp process water; gas."
chemicals,100-200,0.88,med,"Steam (soda ash, general), gas/coal boilers."
chemicals,200-500,0.88,low,"Process heat; gas."
chemicals,500-1000,0.90,med,"Ammonia/methanol reformers, fired heaters, natural gas."
chemicals,>1000,0.90,low,"High-temp fired heaters; fossil."
other-metals,<100,0.65,low,"Non-ferrous excl. aluminium; mix of electric and gas."
other-metals,100-200,0.70,low,"Gas steam/hot processes."
other-metals,200-500,0.70,low,"Furnace preheat; gas."
other-metals,500-1000,0.65,low,"Smelting/roasting; part electric, part fossil."
other-metals,>1000,0.60,low,"Electric-heavy smelting dilutes fossil."
petrochemical-steam-cracking,<100,0.90,low,"Negligible; placeholder."
petrochemical-steam-cracking,100-200,0.92,low,"HP steam; fossil."
petrochemical-steam-cracking,200-500,0.93,low,"Feed preheat; fossil."
petrochemical-steam-cracking,500-1000,0.95,med,"Cracking furnaces ~850C fired by fossil fuel-gas (CH4/H2 tail gas) + purchased gas. All fossil-derived."
petrochemical-steam-cracking,>1000,0.95,low,"Negligible heat above furnace range."
aluminum,<100,0.80,low,"Bayer low-temp; gas."
aluminum,100-200,0.85,med,"Bayer digestion steam; gas boiler."
aluminum,200-500,0.82,low,"Process; gas."
aluminum,500-1000,0.82,med,"Alumina calcination / anode bake; gas-fired (electrolysis itself is electric, excluded from fuel heat)."
aluminum,>1000,0.80,low,"Cast-house holding; gas."
